258,258,1
258,1267,1
259,259,1
260,260,1
261,261,11
262,262,1
263,263,1
264,264,2
265,265,3
266,266,1
267,267,12
268,268,1
268,339,1
269,269,11
269,1658,2
270,270,2
271,271,1
272,62,1
273,273,2
274,274,8
275,275,1
276,276,19
276,532,2
277,277,6
278,278,1
279,279,2
280,280,1
281,281,1
282,282,1
283,283,2
284,8,1
285,285,1
286,286,6
287,287,1
288,288,4
289,289,4
290,290,1
291,291,1
292,293,1
293,0,1
293,293,3
294,294,1
295,295,4
296,392,1
297,297,17
298,1545,1
299,82,4
299,299,24
299,363,1
299,582,1
299,1560,1
300,300,3
301,563,1
302,1570,1
303,8,1
304,304,1
305,305,1
306,306,1
307,307,1
308,2,1
309,253,1
310,82,1
310,310,3
311,311,1
312,265,1
312,312,16
313,8,1
313,313,2
314,1560,1
315,315,1
315,1709,1
316,316,1
317,82,1
318,318,1
319,319,1
320,320,3
321,321,1
322,322,1
323,82,1
323,1448,1
324,324,2
325,325,1
326,265,1
326,326,18
326,327,1
327,327,1
327,1461,2
328,328,2
329,329,3
330,330,1
331,331,3
332,332,1
333,333,1
334,334,1
335,335,1
336,82,1
336,374,1
337,337,1
338,338,1
339,339,1
340,340,1
341,341,3
342,342,1
343,343,4
344,161,1
345,404,1
346,346,2
347,157,1
347,347,3
347,408,3
348,348,1
349,349,1
350,350,1
351,157,1
351,265,2
351,347,3
351,351,4
352,352,1
353,353,2
354,354,1
355,521,1
356,356,7
357,357,2
358,358,4
359,359,1
360,360,1
361,361,1
362,362,1
363,363,1
364,364,1
365,365,2
366,366,1
367,367,2
368,1560,1
369,369,1
370,370,2
371,138,1
372,34,1
373,373,1
374,374,13
375,375,8
376,214,1
377,377,2
378,374,1
379,288,1
379,379,13
380,380,1
381,335,1
381,351,1
382,8,1
382,382,1
383,1067,1
384,384,2
385,385,9
386,387,1
387,387,1
387,389,1
388,388,2
389,226,1
389,230,1
389,565,1
390,8,1
391,391,1
392,392,4
393,393,6
394,394,3
395,395,3
396,396,1
397,397,1
398,562,1
399,763,1
400,400,1
401,401,6
401,556,1
402,402,1
403,403,1
404,404,1
405,405,1
406,260,1
406,406,1
407,407,1
408,408,4
409,409,1
410,287,1
410,410,1
411,411,1
412,412,1
413,8,1
414,414,1
415,415,1
416,82,1
416,416,1
417,417,1
418,418,1
419,1667,1
420,420,1
421,421,2
422,422,1
423,423,1
424,424,1
425,425,1
426,426,1
427,427,1
428,428,1
429,429,2
430,430,1
431,431,1
432,432,5
432,1448,1
433,462,1
434,0,1
434,332,2
434,434,1
435,194,1
435,435,7
435,444,2
435,462,3
435,469,1
436,436,1
436,462,1
437,437,1
438,1560,1
439,1709,1
440,1232,1
441,1098,1
442,442,2
443,1698,1
444,132,2
444,157,1
444,162,1
444,183,1
444,194,1
444,310,1
444,335,1
444,435,1
444,444,9
444,458,1
444,462,11
444,467,1
444,563,1
444,1560,1
444,1709,1
445,444,1
445,462,1
446,69,1
447,183,1
447,447,1
448,8,1
448,404,1
449,117,1
450,450,1
451,156,1
451,354,1
451,450,1
451,1560,1
451,1709,1
452,486,1
453,453,1
454,332,1
455,421,1
456,456,1
457,457,1
458,335,1
458,436,1
458,458,1
458,1687,1
459,772,1
460,462,2
460,1553,1
461,461,1
462,157,1
462,436,1
462,444,1
462,462,5
462,1153,1
463,463,1
464,351,1
465,462,2
466,1667,1
467,435,1
467,436,1
467,445,1
468,1167,1
469,462,1
470,470,1
471,82,1
471,120,1
471,132,1
471,251,1
471,379,1
471,444,1
471,445,1
471,471,1
471,509,1
471,1224,1
471,1448,1
472,157,1
472,458,1
473,473,2
473,494,1
473,1255,1
474,1560,1
475,82,2
475,156,1
