Model,Nb_Layer_Block,Dropout,Input_Type,Layer_size,pLDDT_threshold,is_top_50_SF,Support_threshold,F1_Score
ESM2,2,0.3,AA+3Di,2048,0.0,False,0,0.7546744917656651
ProstT5_half,2,0.3,AA+3Di,2048,0.0,False,0,0.8185903866477449
TM_Vec,2,0.3,AA+3Di,2048,0.0,False,0,0.7604917450619109
ESM2,2,0.3,AA+3Di,2048,24.0,False,0,0.8063596589357557
ESM2,2,0.1,AA+3Di,2048,0.0,False,0,0.7881808852010028
ESM2,3,0.1,AA+3Di,2048,0.0,False,0,0.7864641480452658
ESM2,2,0.1,AA+3Di,4096,0.0,False,0,0.7923673344782676
ESM2,3,0.1,AA+3Di,4096,0.0,False,0,0.7893351553487798
ESM2,3,0.3,AA+3Di,2048,0.0,False,0,0.7877090981852461
ESM2,2,0.3,AA+3Di,4096,0.0,False,0,0.7890506844973236
ESM2,3,0.3,AA+3Di,4096,0.0,False,0,0.7747541497681877
ESM2,2,0.5,AA+3Di,2048,0.0,False,0,0.7659019643583979
ESM2,3,0.5,AA+3Di,2048,0.0,False,0,0.7691834650717202
ESM2,2,0.5,AA+3Di,4096,0.0,False,0,0.7693185727173304
ESM2,3,0.5,AA+3Di,4096,0.0,False,0,0.7419686591053808
ESM2,2,0.1,AA,2048,0.0,False,0,0.7243916508046596
ESM2,4,0.1,AA,1024,0.0,False,0,0.7184837654501262
ESM2,2,0.1,AA+3Di,4096,24.0,False,0,0.7607223436836327
Ankh_base,2,0.3,AA+3Di,2048,24.0,False,0,0.7732968674983663
Ankh_large,2,0.3,AA+3Di,2048,24.0,False,0,0.7828577697630049
TM_Vec,2,0.3,AA+3Di,2048,24.0,False,0,0.7649578543542721
